Date,Client,Order Quantity,Material
2020/1/10,c2,160,12293768
2020/1/10,c2,294,12404641
2020/1/10,c2,48,12222902
2020/1/10,c1,126,11001186
2020/1/10,c10,244,12322779
2020/1/10,c10,504,12395525
2020/1/10,c1,66,12320619
2020/1/10,c1,132,12320670
2020/1/10,c1,132,12320618
2020/1/10,c10,96,12222902
2020/1/10,c10,240,12222902
2020/1/10,c4,112,12396696
2020/1/10,c4,168,12396696
2020/1/10,c10,495,11000858
2020/1/10,c10,252,12042081
2020/1/10,c1,96,12222902
2020/1/10,c8,48,12222902
2020/1/10,c1,132,12320619
2020/1/10,c1,264,12320670
2020/1/10,c1,264,12320618
2020/1/10,c2,84,12395525
2020/1/10,c2,108,12293783
2020/1/10,c10,66,11000851
2020/1/10,c10,220,11000851
2020/1/10,c1,99,11000858
2020/1/13,c1,110,11000851
2020/1/13,c7,48,12222902
2020/1/13,c4,112,12396696
2020/1/13,c3,144,12222902
2020/1/13,c2,420,12322779
2020/1/13,c2,792,12271469
2020/1/13,c2,378,12395525
2020/1/13,c2,324,12293783
2020/1/13,c5,98,12404641
2020/1/13,c1,144,12222902
2020/1/13,c7,98,12404641
2020/1/13,c5,21,12042081
2020/1/13,c5,42,11001186
2020/1/13,c10,462,12271469
2020/1/13,c10,105,12322779
2020/1/13,c4,198,12365978
2020/1/13,c1,192,12222902
2020/1/13,c7,330,11000851
2020/1/13,c7,168,12222902
2020/1/13,c8,294,12404641
2020/1/13,c8,80,12293768
2020/1/13,c7,480,12293768
2020/1/13,c4,28,12396696
2020/1/13,c4,28,12396696
2020/1/13,c4,396,12365978
2020/1/13,c3,63,12042081
2020/1/13,c3,11,11000851
2020/1/13,c3,63,11001186
2020/1/13,c3,33,11000858
2020/1/13,c4,28,12396696
2020/1/13,c1,252,12395525
2020/1/13,c1,264,12271469
2020/1/13,c1,105,12322779
2020/1/13,c1,108,12293783
2020/1/13,c1,80,12293768
2020/1/13,c5,21,12042081
2020/1/13,c5,42,11001186
2020/1/13,c1,252,12395525
2020/1/13,c1,132,12271469
2020/1/13,c1,108,12293783
2020/1/13,c1,50,12293768
2020/1/13,c1,104,12246740
2020/1/13,c1,168,12395525
2020/1/13,c1,264,12271469
2020/1/13,c1,216,12293783
2020/1/13,c1,30,12293768
2020/1/13,c1,104,12246740
2020/1/13,c4,168,12396696
2020/1/13,c3,48,12222902
2020/1/13,c10,264,12320619
2020/1/13,c10,132,12320670
2020/1/13,c1,199,12404641
2020/1/13,c1,243,12404641
2020/1/13,c1,56,12404641
2020/1/13,c1,104,12246740
2020/1/13,c4,112,12396696
2020/1/13,c10,198,12271469
2020/1/13,c10,108,12293783
2020/1/13,c10,160,12293768
2020/1/13,c2,196,12404641
2020/1/13,c2,80,12293768
2020/1/13,c4,594,12365978
2020/1/13,c10,90,12322779
2020/1/13,c10,396,12271469
